Breakdown,Group,Controls,Reinjury N,Raw Reinjury,Adjusted Reinjury,Adjusted Reinjury 95% CI Low,Adjusted Reinjury 95% CI High,Games N,Raw Games,Adjusted Games,Adjusted Games 95% CI Low,Adjusted Games 95% CI High,VORP N,Raw VORP,Adjusted VORP,Adjusted VORP 95% CI Low,Adjusted VORP 95% CI High
Height,"≤74 in (≤6'2"")",Other two dimensions,64,0.171875,0.13621898978836774,0.07276832231843229,0.19771282343099178,52,0.6578041805868092,0.637476709195322,0.5644712991404736,0.693366347435205,64,-1.254325247038987,-1.167125993676609,-2.5201239555744794,0.4467065011096611
Height,"75–76 in (6'3""–6'4"")",Other two dimensions,74,0.02702702702702703,0.0347625304325664,0.014341359896768656,0.06399650076519076,62,0.561591085223743,0.5618391952755732,0.4741967536497237,0.6388408852164181,74,-1.1287456920477672,-1.2618920195794898,-2.5323822333288595,0.068620017023959
Height,"77–79 in (6'5""–6'7"")",Other two dimensions,129,0.023255813953488372,0.030790141556864836,0.011516946128674575,0.055352608870909155,104,0.5496373957758611,0.5469682770542841,0.48985932075039423,0.6088719620869837,129,-1.6897734754433698,-1.8513034741255012,-2.3455387615266696,-1.3839039542681366
Height,"80–82 in (6'8""–6'10"")",Other two dimensions,157,0.07006369426751592,0.07274559193798341,0.03782032604659156,0.10917077453157999,120,0.565249424803034,0.5742944672890562,0.5108748119914371,0.6340360472679639,157,-1.4599969704762628,-1.3530797644925667,-1.8136578209407659,-0.8479367838043199
Height,"≥83 in (≥6'11"")",Other two dimensions,87,0.12643678160919541,0.12994930527284393,0.06267096823501035,0.19900592263059422,59,0.4752981008869342,0.4892840171525497,0.3964436830086216,0.5896142843793576,87,-1.0921690326823816,-0.9964972566742413,-1.635440107596128,-0.241488081559907
