Outcome,Rows Modeled,Outcome Mean,Outcome Minimum,Outcome Maximum,Model,Controls,Adjustment,Bootstrap
Reinjury,511,0.07436399217221135,0.0,1.0,Ridge logistic main-effects model,Body part + age bin + height bin,Average marginal prediction standardized to the modeled cohort,300 player-cluster resamples
Games,397,0.5593432563319115,0.0040650406504065045,1.0,Ridge logistic main-effects model,Body part + age bin + height bin,Average marginal prediction standardized to the modeled cohort,300 player-cluster resamples
VORP,511,-1.38164971734318,-15.878909819993503,14.642505875366442,OLS main-effects model,Body part + age bin + height bin,Average marginal prediction standardized to the modeled cohort,300 player-cluster resamples
