Breakdown,Group,Controls,Reinjury N,Raw Reinjury,Adjusted Reinjury,Adjusted Reinjury 95% CI Low,Adjusted Reinjury 95% CI High,Games N,Raw Games,Adjusted Games,Adjusted Games 95% CI Low,Adjusted Games 95% CI High,VORP N,Raw VORP,Adjusted VORP,Adjusted VORP 95% CI Low,Adjusted VORP 95% CI High
Body Part,Knee,Other two dimensions,190,0.10526315789473684,0.09186625821294987,0.05550866995059157,0.12819229928125264,134,0.5008111470000852,0.5053859022904826,0.45884178310003265,0.5557418571150614,190,-1.6752651443014914,-1.656432541441088,-2.223036376195678,-1.1170617044957982
Body Part,Foot,Other two dimensions,59,0.13559322033898305,0.11589886105008496,0.058040877466685924,0.18510865516890998,48,0.5017904712864274,0.5096233185735367,0.4200005707083434,0.5975317722276091,59,-1.2176184462605335,-1.592437509106446,-2.346826275113006,-0.8003792907518334
Body Part,Ankle,Other two dimensions,52,0.07692307692307693,0.08512810506398696,0.0361424300515415,0.15749664053713788,45,0.5573384181391355,0.5692696255731213,0.4851218829161128,0.6562144921974737,52,-2.103147391515081,-2.023135133524818,-3.048164198706819,-0.6544057270453025
Body Part,Hand,Other two dimensions,44,0.045454545454545456,0.05246464889767457,0.016155949992617734,0.137612772723656,32,0.7074277321548917,0.6862950077615083,0.6068682239095968,0.7594497767377214,44,-0.3647273346041351,-0.26950147996299106,-1.291639076411439,1.062227343239728
Body Part,Shoulder,Other two dimensions,25,0.0,0.025764925732142542,0.018098981117713017,0.03586608011576683,24,0.5683649322529843,0.5701462732973894,0.4663983516746373,0.6497083379103796,25,-1.2545587125109552,-1.8062281737968775,-2.6880905566548186,-0.9107256972721451
Body Part,Wrist,Other two dimensions,23,0.043478260869565216,0.0645702917666939,0.023212787699083578,0.16275495242807825,18,0.5405852716701461,0.5539734833630982,0.44677748507712206,0.6714254301902218,23,-1.0441374409774102,-0.5473362904385678,-1.6191565834753336,0.7416107858452619
Body Part,Hip,Other two dimensions,18,0.05555555555555555,0.06326727902465222,0.02416445184353994,0.1472044133884414,14,0.6252296556314586,0.6017240031106262,0.4690288080079493,0.7185946498830034,18,-1.384154659888724,-1.4898502670102143,-3.4087287796647456,-0.2519647473282399
Body Part,Back,Other two dimensions,15,0.0,0.04302855417493856,0.02793266677761968,0.06291424203852203,13,0.7025283710765886,0.6703724180009298,0.50298353193532,0.7864113382747293,15,-1.6870361984101236,-1.5613800358496752,-3.2904925599890706,-0.03055626433205382
Body Part,Other,Other two dimensions,85,0.023529411764705882,0.030745005569189483,0.011890448839871913,0.06055085843318288,69,0.6070919265481303,0.6094071773712232,0.5378707548873568,0.6845280160405329,85,-0.9984943167640107,-0.8506290967138781,-1.4419388759258878,-0.2651253011933697
