Breakdown,Group,Controls,Reinjury N,Raw Reinjury,Adjusted Reinjury,Adjusted Reinjury 95% CI Low,Adjusted Reinjury 95% CI High,Games N,Raw Games,Adjusted Games,Adjusted Games 95% CI Low,Adjusted Games 95% CI High,VORP N,Raw VORP,Adjusted VORP,Adjusted VORP 95% CI Low,Adjusted VORP 95% CI High
Age,19–21,Other two dimensions,60,0.08333333333333333,0.06492689984111132,0.030503772485443358,0.10487550429741523,50,0.578737542049366,0.5680256568362511,0.5017848006121115,0.6279855579706071,60,0.178148157371581,0.20322701398975135,-0.40061697385427186,0.8675058901544407
Age,22–24,Other two dimensions,129,0.10077519379844961,0.1063450989334602,0.05718513546889153,0.15236750783998962,102,0.5708840722640798,0.579182190573888,0.5209197069205836,0.6292890716307208,129,-0.009979270341307057,0.09647043448962563,-0.4986806137233465,0.7632313259696167
Age,25–27,Other two dimensions,131,0.0916030534351145,0.09284493537876783,0.04476135397475742,0.15013390909968308,107,0.5822110038844586,0.5782852693862123,0.521106767264249,0.6361980920392293,131,-1.9628615668022675,-2.068114720047202,-2.700124794990132,-1.3130069631745316
Age,28–30,Other two dimensions,110,0.05454545454545454,0.051691928663730034,0.023191010869567204,0.08955964844602197,81,0.5954082524502543,0.5950811056349282,0.5268193329497161,0.6716522932249749,110,-2.1458669799412,-2.0952925407304175,-2.76780723112512,-1.4356643889257994
Age,31–33,Other two dimensions,52,0.038461538461538464,0.0462970673958727,0.013839099313696911,0.09210838127953037,38,0.4546847203842319,0.4471526725655946,0.34663402688889994,0.5592797828749393,52,-2.2077011589808344,-2.2760454850880603,-2.9037024526097572,-1.4694652675492952
Age,34–36,Other two dimensions,19,0.0,0.023974694681047844,0.014623696825405194,0.03839934446215064,14,0.47861312026295894,0.48571262910305546,0.36652477138493617,0.6344323971304733,19,-4.473034850995803,-4.577882414150869,-6.4286246310526,-2.7633162399589764
Age,37+,Other two dimensions,10,0.0,0.033552971607540685,0.018915036671713317,0.057449575670540785,5,0.07779427359490987,0.24856327060570357,0.17560468127199602,0.41115727114363876,10,-2.245621365007864,-2.3921973550938747,-4.14990046497735,-0.10793899940428867
